,am,bg,bn,cs,da,de,el,en,es,fi,fr,he,hi,hr,ht,hu,hy,id,it,ja,ka,kk,km,ko,ky,lo,lt,mk,my,nl,no,pl,pt,ro,ru,sk,sl,sq,sv,tg,th,tk,tr,uk,ur,vi,yue
sk,0.9789,0.5855,0.9443,0.3496,0.9535,0.9351,0.9820,0.9318,0.9185,0.9574,0.9027,0.9949,0.9516,0.4341,0.9402,0.9733,0.9771,0.9818,0.9139,1.0208,1.0292,1.0314,1.0054,1.0091,0.9903,1.0266,0.9107,0.5668,0.9899,0.9387,0.9435,0.5711,0.9407,0.9335,0.5985,0.0966,0.4832,0.9417,0.9122,0.9325,1.0188,1.0193,0.9966,0.5919,0.9345,0.9620,0.9964
sl,0.9476,0.4139,0.9522,0.3731,0.9159,0.9034,0.9753,0.9134,0.9086,0.9658,0.9064,1.0048,0.9242,0.2976,0.9420,0.9559,0.9702,0.9639,0.8791,1.0281,1.0087,0.9840,1.0130,0.9698,0.9734,1.0081,0.8835,0.4872,0.9977,0.9211,0.9200,0.4855,0.9362,0.9054,0.5925,0.4832,0.0522,0.9292,0.9066,0.9104,0.9982,1.0021,0.9910,0.5613,0.9455,0.9844,0.9979
sq,1.0161,0.9366,0.9669,0.9462,0.9972,0.9842,0.9765,0.9839,0.9791,1.0005,0.9525,0.9791,0.9670,0.9600,0.9393,0.9771,0.9772,1.0007,0.9481,1.0095,0.9839,1.0013,1.0091,0.9950,1.0071,1.0080,0.9772,0.9204,0.9795,0.9809,0.9836,0.9469,0.9343,0.9109,0.9724,0.9417,0.9292,0.1675,0.9884,0.9759,1.0000,1.0009,0.9994,0.9254,0.9487,0.9975,1.0118
sv,0.9893,0.9373,0.9430,0.9143,0.5613,0.6851,0.9929,0.6782,0.9432,0.9587,0.9387,0.9816,0.9337,0.8969,0.9680,0.9802,0.9546,0.9885,0.9416,0.9945,1.0051,1.0068,0.9581,1.0081,0.9917,1.0134,0.9598,0.9145,0.9884,0.7021,0.5360,0.9462,0.9575,0.9454,0.9575,0.9122,0.9066,0.9884,0.2622,0.9654,1.0090,1.0396,1.0104,0.9316,0.9229,0.9849,1.0073
tg,0.9942,0.9315,0.9136,0.9179,0.9513,0.9170,0.9420,0.9088,0.9435,0.9785,0.8732,0.9713,0.8399,0.8907,0.9223,0.9739,0.9521,0.9413,0.8974,1.0258,0.9816,0.9747,1.0271,0.9941,0.9653,1.0177,0.9430,0.9008,0.9792,0.9443,0.9508,0.9308,0.9146,0.9025,0.9519,0.9325,0.9104,0.9759,0.9654,0.0000,0.9964,0.9687,0.9701,0.9425,0.7977,1.0011,0.9873
th,1.0086,1.0203,1.0009,1.0030,1.0072,0.9655,0.9774,0.9825,0.9646,1.0050,0.9988,1.0172,0.9765,1.0051,0.9848,1.0211,0.9995,0.9868,0.9997,1.0408,0.9971,1.0044,0.9867,1.0532,0.9879,0.4878,1.0173,1.0163,1.0000,0.9864,0.9927,1.0066,0.9655,0.9897,1.0027,1.0188,0.9982,1.0000,1.0090,0.9964,0.3170,0.9778,1.0000,1.0092,0.9893,0.9708,0.9723
tk,0.9973,0.9958,0.9662,0.9887,1.0178,0.9853,1.0004,1.0400,0.9882,0.9787,1.0231,1.0234,0.9965,1.0227,0.9920,0.9682,0.9498,1.0177,0.9818,1.0166,0.9865,0.5055,1.0089,0.9985,0.5468,1.0002,1.0344,0.9876,0.9855,1.0195,1.0262,1.0114,0.9747,0.9737,1.0048,1.0193,1.0021,1.0009,1.0396,0.9687,0.9778,0.0876,0.5951,0.9885,0.9999,0.9684,0.9963
tr,1.0147,0.9740,0.9794,1.0004,1.0065,0.9957,0.9925,0.9998,0.9821,0.9745,0.9913,1.0036,0.9731,0.9916,0.9800,0.9598,0.9858,1.0071,0.9851,0.9969,0.9662,0.7221,0.9790,1.0098,0.7444,1.0015,0.9987,0.9741,0.9970,1.0025,1.0056,1.0120,0.9926,0.9886,0.9752,0.9966,0.9910,0.9994,1.0104,0.9701,1.0000,0.5951,0.4559,0.9895,0.9790,0.9826,0.9915
uk,0.9727,0.6530,0.9726,0.5736,0.9594,0.9603,0.9579,0.9707,0.9172,0.9788,0.9040,0.9904,0.9618,0.5805,0.9388,0.9763,0.9813,1.0013,0.9330,1.0464,1.0351,0.9953,1.0040,1.0007,0.9734,1.0116,0.9333,0.6777,1.0108,0.9443,0.9561,0.6975,0.9592,0.9638,0.6734,0.5919,0.5613,0.9254,0.9316,0.9425,1.0092,0.9885,0.9895,0.1414,0.9463,0.9533,0.9832
ur,0.9978,0.9086,0.6458,0.9658,0.9058,0.9179,0.9531,0.9342,0.9085,0.9533,0.9170,0.9700,0.5222,0.9488,0.9402,0.9796,0.9016,0.9825,0.8784,1.0272,0.9699,1.0090,0.9967,0.9970,1.0131,0.9797,0.9117,0.8797,1.0010,0.9183,0.9191,0.9328,0.8518,0.8819,0.9657,0.9345,0.9455,0.9487,0.9229,0.7977,0.9893,0.9999,0.9790,0.9463,0.1123,1.0315,1.0182
vi,0.9861,1.0048,0.9770,0.9684,1.0145,0.9641,0.9772,1.0232,0.9948,0.9771,0.9947,0.9742,1.0039,0.9777,1.0182,1.0050,0.9727,0.9622,0.9986,0.9884,0.9913,0.9924,0.9635,0.9901,1.0239,0.9753,0.9892,0.9876,0.9948,1.0176,1.0162,0.9944,0.9735,1.0270,0.9899,0.9620,0.9844,0.9975,0.9849,1.0011,0.9708,0.9684,0.9826,0.9533,1.0315,0.0750,0.9716
yue,0.9933,0.9813,0.9812,0.9968,1.0159,1.0081,0.9757,0.9895,0.9975,1.0088,0.9748,0.9891,1.0083,0.9686,0.9951,1.0104,1.0039,0.9883,0.9820,0.9859,1.0084,1.0025,0.9862,0.9476,0.9920,0.9750,1.0006,0.9840,0.9726,1.0046,1.0249,1.0121,0.9796,0.9894,0.9781,0.9964,0.9979,1.0118,1.0073,0.9873,0.9723,0.9963,0.9915,0.9832,1.0182,0.9716,0.5966
